date,venue,innings,target,team,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,d1,r1,w1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,d2,r2,w2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.10,2.11,2.12,d3,r3,w3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,d4,r4,w4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,d5,r5,w5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.12,d6,r6,w6
2011-05-03,"Rajiv Gandhi International Stadium, Uppal",2,169,Deccan Chargers,0,0,0,0,1,0,,,,,,,6,1,0,4,0,0,0,4,1,,,,,,,6,9,0,0,1,2,0,4,4,,,,,,,6,11,0,1,1,2,5,0,1,,,,,,,6,10,0,0,1,4,1,0,1,,,,,,,6,7,0,1,2,0,0,0,0,,,,,,,6,3,2
2011-05-04,Dr DY Patil Sports Academy,1,,Mumbai Indians,1,0,0,0,0,4,,,,,,,6,5,0,0,1,4,0,0,4,,,,,,,6,9,0,0,4,0,0,1,0,,,,,,,6,5,1,1,1,0,1,2,0,,,,,,,6,5,0,2,0,4,4,1,0,,,,,,,6,11,0,1,4,1,1,2,1,4,,,,,,7,14,0
2011-05-04,Dr DY Patil Sports Academy,2,160,Pune Warriors,0,0,0,0,0,0,,,,,,,6,0,1,1,0,0,1,0,4,,,,,,,6,6,0,1,0,4,0,0,1,,,,,,,6,6,0,1,4,0,0,0,4,,,,,,,6,9,1,0,1,4,0,0,1,,,,,,,6,6,0,0,0,2,0,0,1,0,1,,,,,8,4,0
2011-05-04,"MA Chidambaram Stadium, Chepauk",1,,Rajasthan Royals,0,1,1,4,0,3,,,,,,,6,9,0,0,1,0,1,4,0,,,,,,,6,6,0,0,0,1,0,0,0,,,,,,,6,1,0,4,0,1,0,1,0,,,,,,,6,6,0,4,1,4,0,1,4,,,,,,,6,14,0,1,0,4,1,4,1,,,,,,,6,11,0
2011-05-04,"MA Chidambaram Stadium, Chepauk",2,147,Chennai Super Kings,0,1,0,0,0,4,,,,,,,6,5,0,1,1,0,1,0,0,,,,,,,6,3,1,0,1,1,2,0,4,,,,,,,6,8,0,2,5,1,0,2,0,,,,,,,6,10,0,1,2,1,4,1,2,2,0,,,,,8,13,0,1,1,0,1,0,1,,,,,,,6,4,0
2011-05-05,"Rajiv Gandhi International Stadium, Uppal",1,,Deccan Chargers,4,4,1,0,1,0,,,,,,,6,10,0,1,1,0,1,1,0,,,,,,,6,4,0,4,1,0,0,0,0,,,,,,,6,5,1,0,4,1,0,0,0,,,,,,,6,5,0,1,0,0,4,0,1,,,,,,,6,6,0,0,4,4,4,1,0,,,,,,,6,13,0
2011-05-05,"Rajiv Gandhi International Stadium, Uppal",2,175,Delhi Daredevils,0,0,0,0,1,4,,,,,,,6,5,1,1,0,0,1,0,1,0,,,,,,7,3,0,1,0,1,0,0,1,0,,,,,,7,3,0,4,0,0,0,0,1,,,,,,,6,5,1,2,1,1,0,1,1,1,0,1,,,,9,8,0,1,0,0,0,0,0,4,,,,,,7,5,1
2011-05-05,Nehru Stadium,1,,Kochi Tuskers Kerala,0,0,0,0,0,0,,,,,,,6,0,0,1,1,1,3,0,1,0,,,,,,7,7,1,4,4,1,1,0,0,,,,,,,6,10,0,0,1,4,0,0,1,,,,,,,6,6,0,4,0,1,1,1,0,,,,,,,6,7,0,0,0,4,1,0,0,,,,,,,6,5,1
2011-05-05,Nehru Stadium,2,156,Kolkata Knight Riders,0,1,0,4,0,4,,,,,,,6,9,0,0,0,4,1,1,0,0,,,,,,7,6,0,0,4,4,1,0,4,,,,,,,6,13,0,0,0,1,1,2,1,,,,,,,6,5,0,2,1,1,1,1,1,,,,,,,6,7,0,1,0,0,0,1,1,,,,,,,6,3,0
2011-05-06,M Chinnaswamy Stadium,1,,Royal Challengers Bangalore,0,0,4,1,0,4,,,,,,,6,9,0,0,0,0,0,0,3,,,,,,,6,3,0,0,0,1,0,4,0,,,,,,,6,5,0,6,6,1,4,4,0,,,,,,,6,21,0,0,4,0,1,0,4,,,,,,,6,9,1,0,0,0,0,1,0,,,,,,,6,1,0
2011-05-06,M Chinnaswamy Stadium,2,205,Kings XI Punjab,0,0,1,1,1,0,1,,,,,,7,4,1,0,0,1,0,0,0,,,,,,,6,1,1,1,1,0,1,4,4,4,,,,,,7,15,0,1,0,0,1,1,4,,,,,,,6,7,0,0,1,0,0,4,1,,,,,,,6,6,1,1,0,0,1,1,2,,,,,,,6,5,1
2011-05-07,Eden Gardens,1,,Chennai Super Kings,0,0,0,1,0,0,,,,,,,6,1,0,1,2,0,1,0,0,,,,,,,6,4,0,0,0,2,0,0,0,,,,,,,6,2,0,0,1,0,0,0,1,,,,,,,6,2,1,0,0,1,1,0,1,,,,,,,6,3,0,1,0,1,1,0,0,0,,,,,,7,3,1
2011-05-07,Eden Gardens,2,114,Kolkata Knight Riders,0,1,1,4,0,1,1,,,,,,7,8,0,1,0,0,4,1,0,0,,,,,,7,6,1,0,4,1,0,2,0,,,,,,,6,7,0,2,1,1,0,0,0,,,,,,,6,4,0,0,0,4,1,0,1,,,,,,,6,6,0,0,2,0,0,0,0,,,,,,,6,2,1
2011-05-07,Wankhede Stadium,1,,Mumbai Indians,0,0,0,1,4,4,1,,,,,,7,10,0,0,0,0,1,0,4,,,,,,,6,5,0,4,0,4,4,4,4,,,,,,,6,20,0,4,0,0,1,0,0,1,,,,,,7,6,0,0,0,4,1,4,0,,,,,,,6,9,0,0,0,0,0,0,0,,,,,,,6,0,1
2011-05-07,Wankhede Stadium,2,178,Delhi Daredevils,0,1,1,1,0,1,,,,,,,6,4,1,0,0,0,0,0,0,,,,,,,6,0,1,0,1,0,1,1,0,0,,,,,,7,3,2,3,0,1,0,1,0,,,,,,,6,5,0,1,0,0,0,0,0,,,,,,,6,1,0,0,0,1,4,4,1,,,,,,,6,10,0
2011-05-08,"Punjab Cricket Association Stadium, Mohali",1,,Kings XI Punjab,0,0,1,0,0,4,,,,,,,6,5,0,1,4,4,0,0,4,,,,,,,6,13,0,1,0,0,2,0,1,,,,,,,6,4,0,1,0,1,0,1,0,,,,,,,6,3,1,1,0,0,1,1,1,,,,,,,6,4,0,4,0,0,1,0,0,,,,,,,6,5,0
2011-05-08,"Punjab Cricket Association Stadium, Mohali",2,119,Pune Warriors,0,0,0,0,0,0,,,,,,,6,0,0,1,1,4,0,0,0,4,0,,,,,8,10,0,1,1,4,4,0,1,,,,,,,6,11,0,0,0,4,1,4,0,,,,,,,6,9,0,1,1,0,0,0,0,,,,,,,6,2,1,0,0,4,4,0,0,,,,,,,6,8,0
2011-05-08,M Chinnaswamy Stadium,1,,Kochi Tuskers Kerala,1,1,0,0,4,1,,,,,,,6,7,0,0,0,1,0,4,0,,,,,,,6,5,0,1,2,1,4,0,1,,,,,,,6,9,0,4,1,0,1,2,0,,,,,,,6,8,0,0,4,0,4,1,3,0,,,,,,7,12,0,0,2,0,1,1,4,,,,,,,6,8,1
2011-05-08,M Chinnaswamy Stadium,2,125,Royal Challengers Bangalore,0,0,0,1,2,0,6,,,,,,7,9,0,4,4,2,0,4,6,,,,,,,6,20,0,6,7,4,4,6,6,4,,,,,,7,37,0,0,1,0,0,0,0,,,,,,,6,1,1,0,1,0,1,1,1,1,,,,,,7,5,0,0,0,2,0,1,4,,,,,,,6,7,0
2011-05-09,Sawai Mansingh Stadium,1,,Chennai Super Kings,4,1,1,0,0,0,1,,,,,,7,7,0,1,0,4,1,1,1,,,,,,,6,8,0,4,1,1,1,1,2,,,,,,,6,10,0,1,0,4,1,1,2,,,,,,,6,9,0,4,0,1,0,4,4,,,,,,,6,13,0,0,2,1,1,0,0,4,,,,,,7,8,0
2011-05-09,Sawai Mansingh Stadium,2,196,Rajasthan Royals,1,0,2,0,4,1,,,,,,,6,8,0,5,1,0,2,0,1,1,,,,,,7,10,0,0,0,4,1,1,1,,,,,,,6,7,0,1,1,0,0,0,1,,,,,,,6,3,1,0,1,1,4,4,0,,,,,,,6,10,0,1,4,1,4,0,0,,,,,,,6,10,1
2011-05-10,"Punjab Cricket Association Stadium, Mohali",1,,Kings XI Punjab,0,0,0,1,0,1,,,,,,,6,2,0,4,0,0,1,0,1,0,,,,,,7,6,0,0,1,4,4,0,1,,,,,,,6,10,0,0,4,0,0,0,0,,,,,,,6,4,1,0,3,1,0,0,4,,,,,,,6,8,0,0,1,4,1,2,1,,,,,,,6,9,0
2011-05-10,"Punjab Cricket Association Stadium, Mohali",2,163,Mumbai Indians,0,4,4,4,0,0,,,,,,,6,12,0,1,1,0,0,4,1,,,,,,,6,7,0,0,0,0,0,0,0,,,,,,,6,0,1,1,0,4,1,1,1,0,,,,,,7,8,1,0,0,0,0,1,0,,,,,,,6,1,1,0,4,0,0,0,1,,,,,,,6,5,0
2011-05-10,"Rajiv Gandhi International Stadium, Uppal",1,,Deccan Chargers,0,0,1,1,1,1,,,,,,,6,4,0,0,0,0,0,4,4,,,,,,,6,8,0,1,4,1,1,0,1,,,,,,,6,8,0,1,1,0,1,1,4,1,,,,,,7,9,0,1,1,0,1,1,6,,,,,,,6,10,0,0,4,0,1,0,6,,,,,,,6,11,0
2011-05-10,"Rajiv Gandhi International Stadium, Uppal",2,136,Pune Warriors,0,0,0,4,6,1,4,,,,,,7,15,0,0,0,1,0,4,4,,,,,,,6,9,0,0,4,0,1,1,0,,,,,,,6,6,0,1,1,0,6,0,0,,,,,,,6,8,0,4,0,0,1,0,0,,,,,,,6,5,0,0,4,0,0,1,4,,,,,,,6,9,0
2011-05-11,Sawai Mansingh Stadium,1,,Rajasthan Royals,0,1,0,0,2,1,0,,,,,,7,4,0,0,0,4,2,4,0,,,,,,,6,10,0,0,4,4,0,0,1,,,,,,,6,9,0,1,0,0,0,1,0,0,,,,,,7,2,0,1,0,1,4,1,0,,,,,,,6,7,0,4,0,1,0,0,6,,,,,,,6,11,0
2011-05-11,Sawai Mansingh Stadium,2,146,Royal Challengers Bangalore,1,1,4,0,0,0,4,,,,,,7,10,0,0,1,0,4,1,4,,,,,,,6,10,0,1,2,0,4,1,4,,,,,,,6,12,0,0,1,4,1,0,4,,,,,,,6,10,0,0,0,4,4,0,0,,,,,,,6,8,0,4,6,0,1,4,1,,,,,,,6,16,0
2011-05-12,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings,1,0,1,4,0,0,,,,,,,6,6,1,1,4,0,0,6,0,,,,,,,6,11,0,4,0,0,1,1,2,,,,,,,6,8,0,1,0,0,0,0,1,,,,,,,6,2,0,6,0,6,0,0,0,,,,,,,6,12,0,0,2,0,0,0,1,,,,,,,6,3,1
2011-05-12,"MA Chidambaram Stadium, Chepauk",2,176,Delhi Daredevils,0,0,0,4,0,0,,,,,,,6,4,0,1,0,4,4,1,3,,,,,,,6,13,0,1,6,6,0,0,4,,,,,,,6,17,1,0,0,1,1,4,0,,,,,,,6,6,0,0,0,1,0,1,4,,,,,,,6,6,0,4,0,1,0,0,1,,,,,,,6,6,0
2011-05-13,Holkar Cricket Stadium,1,,Kochi Tuskers Kerala,0,1,2,1,3,4,4,0,,,,,8,15,0,1,0,0,0,1,4,0,,,,,,7,6,0,0,0,4,1,4,0,,,,,,,6,9,0,1,1,0,1,1,0,1,,,,,,7,5,0,1,0,0,1,6,3,,,,,,,6,11,0,1,5,4,1,0,4,1,,,,,,7,16,0
2011-05-13,Holkar Cricket Stadium,2,178,Kings XI Punjab,1,0,1,0,0,0,4,1,,,,,8,7,0,1,0,4,0,0,1,,,,,,,6,6,0,6,0,6,0,0,0,,,,,,,6,12,1,0,1,1,1,0,2,1,,,,,,7,6,0,0,0,0,0,0,4,,,,,,,6,4,1,4,0,4,4,1,1,,,,,,,6,14,0
2011-05-14,M Chinnaswamy Stadium,1,,Kolkata Knight Riders,0,0,0,4,4,0,,,,,,,6,8,0,1,0,0,4,1,1,,,,,,,6,7,0,0,0,0,1,2,2,,,,,,,6,5,1,0,0,1,0,0,1,,,,,,,6,2,1,0,1,0,1,2,0,,,,,,,6,4,0,0,4,0,1,0,2,,,,,,,6,7,1
2011-05-14,M Chinnaswamy Stadium,2,89,Royal Challengers Bangalore,4,4,0,4,4,0,,,,,,,6,16,0,4,1,6,6,2,4,,,,,,,6,23,0,0,1,4,0,2,0,,,,,,,6,7,1,0,0,0,1,1,0,2,,,,,,7,4,0,4,1,1,0,0,1,1,,,,,,7,8,0,1,1,1,4,0,0,,,,,,,6,7,1
2011-05-14,Wankhede Stadium,1,,Deccan Chargers,0,0,0,1,0,0,,,,,,,6,1,1,0,0,0,0,1,0,,,,,,,6,1,0,0,0,1,0,1,1,,,,,,,6,3,0,1,6,0,0,1,1,,,,,,,6,9,0,6,1,1,0,1,0,,,,,,,6,9,0,1,1,4,2,0,1,,,,,,,6,9,0
2011-05-14,Wankhede Stadium,2,135,Mumbai Indians,0,0,1,4,0,0,,,,,,,6,5,0,0,2,1,0,0,1,,,,,,,6,4,0,0,0,2,0,0,0,,,,,,,6,2,1,2,1,4,1,0,0,0,,,,,,7,8,1,1,0,0,0,4,0,,,,,,,6,5,0,0,1,0,0,1,0,,,,,,,6,2,1
2011-05-15,Holkar Cricket Stadium,1,,Rajasthan Royals,0,0,0,4,0,1,,,,,,,6,5,0,0,1,0,0,1,1,,,,,,,6,3,0,0,4,0,4,2,0,,,,,,,6,10,1,0,2,0,1,0,0,,,,,,,6,3,1,0,0,0,1,0,0,,,,,,,6,1,0,4,0,0,0,0,6,,,,,,,6,10,1
2011-05-15,Holkar Cricket Stadium,2,97,Kochi Tuskers Kerala,0,1,6,4,1,1,4,2,,,,,8,19,0,6,1,0,6,0,6,,,,,,,6,19,1,0,0,6,0,1,0,0,,,,,,7,7,0,0,0,4,0,4,6,,,,,,,6,14,1,2,1,1,4,4,2,,,,,,,6,14,0,4,0,0,0,6,4,,,,,,,6,14,0
2011-05-15,Himachal Pradesh Cricket Association Stadium,1,,Kings XI Punjab,1,0,0,0,0,4,,,,,,,6,5,0,1,0,0,0,0,0,0,,,,,,7,1,0,0,1,4,0,1,4,,,,,,,6,10,0,4,1,0,0,1,1,,,,,,,6,7,1,0,0,0,1,0,1,4,4,,,,,8,10,0,1,4,0,1,0,4,,,,,,,6,10,0
2011-05-15,Himachal Pradesh Cricket Association Stadium,2,170,Delhi Daredevils,1,1,2,0,5,1,0,,,,,,7,10,0,0,0,0,4,1,0,0,,,,,,7,5,0,0,0,0,0,0,0,,,,,,,6,0,0,0,0,1,1,1,0,,,,,,,6,3,0,0,0,0,1,6,0,,,,,,,6,7,0,1,4,6,0,6,0,0,,,,,,7,17,0
2011-05-16,Dr DY Patil Sports Academy,1,,Pune Warriors,0,1,4,1,6,2,,,,,,,6,14,0,0,1,0,0,0,3,,,,,,,6,4,0,1,4,0,2,0,0,,,,,,,6,7,0,0,4,0,1,1,0,,,,,,,6,6,1,0,0,4,0,0,0,,,,,,,6,4,0,0,0,0,0,0,4,,,,,,,6,4,1
2011-05-16,Dr DY Patil Sports Academy,2,136,Deccan Chargers,0,1,0,1,0,2,,,,,,,6,4,0,1,1,0,1,4,1,0,,,,,,7,8,0,0,4,0,0,2,0,,,,,,,6,6,0,1,1,0,0,0,1,5,4,,,,,8,12,0,1,0,1,1,6,1,,,,,,,6,10,0,0,6,1,4,1,4,1,,,,,,7,17,0
2011-05-17,Himachal Pradesh Cricket Association Stadium,1,,Kings XI Punjab,0,0,0,0,4,1,,,,,,,6,5,0,6,0,1,1,0,1,0,,,,,,7,9,0,0,0,1,0,2,0,,,,,,,6,3,0,1,4,1,2,0,0,0,,,,,,7,8,1,0,0,0,4,0,0,,,,,,,6,4,0,1,0,0,0,0,0,,,,,,,6,1,0
2011-05-17,Himachal Pradesh Cricket Association Stadium,2,232,Royal Challengers Bangalore,0,0,0,0,0,0,,,,,,,6,0,0,1,1,1,0,1,0,0,1,0,,,,9,5,1,0,0,1,0,0,0,,,,,,,6,1,0,0,0,1,2,4,4,0,,,,,,7,11,1,0,0,1,4,1,4,,,,,,,6,10,0,0,2,0,4,1,0,,,,,,,6,7,1
2011-05-18,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings,1,0,0,0,1,1,,,,,,,6,3,0,0,1,1,0,0,0,,,,,,,6,2,0,2,4,0,4,4,0,,,,,,,6,14,1,1,0,1,1,0,1,,,,,,,6,4,0,0,0,0,0,1,0,,,,,,,6,1,0,6,4,6,0,0,1,,,,,,,6,17,1
2011-05-18,"MA Chidambaram Stadium, Chepauk",2,152,Kochi Tuskers Kerala,1,1,1,0,0,0,,,,,,,6,3,0,0,2,1,1,1,1,1,,,,,,7,7,0,1,0,1,0,1,1,,,,,,,6,4,1,1,2,1,4,4,0,1,,,,,,7,13,0,1,0,0,0,1,0,,,,,,,6,2,0,0,4,4,2,0,1,,,,,,,6,11,0
2011-05-19,Dr DY Patil Sports Academy,1,,Pune Warriors,0,0,0,1,4,4,,,,,,,6,9,0,0,0,0,0,1,0,,,,,,,6,1,1,0,4,2,1,0,0,,,,,,,6,7,0,0,0,0,1,0,0,,,,,,,6,1,1,1,0,1,1,0,4,,,,,,,6,7,0,1,0,1,1,0,0,1,,,,,,7,4,0
2011-05-19,Dr DY Patil Sports Academy,2,118,Kolkata Knight Riders,1,2,4,0,0,0,,,,,,,6,7,1,0,0,1,0,4,5,,,,,,,6,10,0,5,0,1,1,1,1,6,,,,,,7,15,0,1,0,0,0,0,0,,,,,,,6,1,0,1,1,4,4,0,0,,,,,,,6,10,0,0,0,0,0,1,0,,,,,,,6,1,0
2011-05-20,Wankhede Stadium,1,,Mumbai Indians,1,0,1,0,0,0,,,,,,,6,2,0,1,4,0,0,0,0,,,,,,,6,5,1,1,1,0,4,0,1,,,,,,,6,7,0,1,0,0,1,1,0,,,,,,,6,3,1,0,0,2,0,1,0,,,,,,,6,3,0,0,1,0,1,0,4,,,,,,,6,6,0
2011-05-20,Wankhede Stadium,2,133,Rajasthan Royals,1,4,1,1,1,0,0,,,,,,7,8,0,0,0,6,0,6,0,,,,,,,6,12,0,1,1,1,0,0,1,,,,,,,6,4,0,0,0,4,0,0,4,,,,,,,6,8,0,1,1,0,1,2,0,,,,,,,6,5,0,1,4,0,0,6,4,,,,,,,6,15,0
2011-05-21,Himachal Pradesh Cricket Association Stadium,1,,Deccan Chargers,1,0,0,2,1,0,,,,,,,6,4,0,1,0,4,2,4,0,,,,,,,6,11,0,1,4,1,0,1,2,,,,,,,6,9,0,0,1,4,0,1,4,,,,,,,6,10,0,4,4,1,1,0,0,3,,,,,,7,13,0,1,4,0,0,4,2,,,,,,,6,11,0
2011-05-21,Himachal Pradesh Cricket Association Stadium,2,198,Kings XI Punjab,0,1,0,0,0,4,,,,,,,6,5,0,0,0,4,0,4,1,,,,,,,6,9,1,0,0,0,4,4,0,,,,,,,6,8,1,0,0,0,2,0,1,,,,,,,6,3,0,1,0,6,0,4,0,0,,,,,,7,11,0,0,4,1,0,4,0,,,,,,,6,9,0
2011-05-22,Eden Gardens,1,,Kolkata Knight Riders,0,0,0,0,1,0,,,,,,,6,1,0,1,0,1,1,0,1,4,,,,,,7,8,1,0,0,2,1,0,4,,,,,,,6,7,0,6,0,4,0,4,0,,,,,,,6,14,1,1,4,1,1,6,1,,,,,,,6,14,0,0,0,0,1,0,1,,,,,,,6,2,0
2011-05-22,Eden Gardens,2,175,Mumbai Indians,4,0,1,0,4,4,,,,,,,6,13,0,0,0,0,0,1,0,,,,,,,6,1,1,4,4,1,1,0,0,,,,,,,6,10,0,4,1,0,0,0,4,,,,,,,6,9,0,1,0,0,1,1,0,,,,,,,6,3,0,1,1,4,2,4,4,2,,,,,,7,18,0
2011-05-22,M Chinnaswamy Stadium,1,,Chennai Super Kings,1,1,0,0,0,1,2,,,,,,7,5,0,0,0,1,1,0,0,,,,,,,6,2,0,0,0,4,0,1,0,0,,,,,,7,5,1,0,4,0,1,0,0,0,,,,,,7,5,1,0,0,0,0,0,0,,,,,,,6,0,1,4,1,0,0,0,1,,,,,,,6,6,1
2011-05-22,M Chinnaswamy Stadium,2,128,Royal Challengers Bangalore,0,0,0,4,1,1,,,,,,,6,6,1,1,0,0,0,1,0,0,,,,,,7,2,0,0,4,0,1,0,0,,,,,,,6,5,0,6,1,0,4,1,6,,,,,,,6,18,0,1,0,1,1,0,0,,,,,,,6,3,0,1,1,0,4,0,4,,,,,,,6,10,0
2011-05-24,Wankhede Stadium,1,,Royal Challengers Bangalore,4,0,1,0,1,1,,,,,,,6,7,0,0,0,1,4,0,0,,,,,,,6,5,0,4,4,1,1,0,2,,,,,,,6,12,0,0,6,0,0,0,0,,,,,,,6,6,1,1,0,0,4,0,0,4,,,,,,7,9,0,1,1,1,0,1,0,1,,,,,,7,5,0
2011-05-24,Wankhede Stadium,2,175,Chennai Super Kings,1,1,0,1,0,0,0,,,,,,7,3,1,4,0,0,0,4,1,,,,,,,6,9,1,1,0,0,0,0,0,0,,,,,,7,1,0,1,0,2,0,0,0,,,,,,,6,3,0,0,0,0,0,4,4,,,,,,,6,8,0,1,0,0,0,0,0,,,,,,,6,1,0
2011-05-25,Wankhede Stadium,1,,Kolkata Knight Riders,0,0,1,1,0,0,1,,,,,,7,3,0,2,0,4,0,0,0,,,,,,,6,6,1,4,0,0,0,0,1,,,,,,,6,5,1,1,0,0,0,1,0,,,,,,,6,2,1,0,0,1,0,0,2,,,,,,,6,3,0,0,1,0,0,4,1,,,,,,,6,6,1
2011-05-25,Wankhede Stadium,2,147,Mumbai Indians,0,3,1,4,4,2,,,,,,,6,14,0,0,2,4,1,0,0,,,,,,,6,7,0,1,1,0,1,0,0,,,,,,,6,3,0,1,0,4,0,4,1,,,,,,,6,10,0,1,4,4,4,4,0,,,,,,,6,17,0,4,4,0,1,1,1,,,,,,,6,11,0
2011-05-27,"MA Chidambaram Stadium, Chepauk",1,,Royal Challengers Bangalore,2,0,4,4,5,6,2,4,,,,,8,27,0,0,4,0,1,4,0,0,,,,,,7,9,0,4,0,4,0,1,1,,,,,,,6,10,0,0,6,4,0,1,0,,,,,,,6,11,0,0,1,4,4,1,0,,,,,,,6,10,0,0,0,0,1,0,0,,,,,,,6,1,0
2011-05-27,"MA Chidambaram Stadium, Chepauk",2,185,Mumbai Indians,4,1,1,0,4,0,,,,,,,6,10,0,4,4,0,0,2,0,,,,,,,6,10,0,0,0,0,0,1,1,,,,,,,6,2,0,0,1,0,0,1,4,,,,,,,6,6,1,4,1,1,6,1,0,,,,,,,6,13,0,0,1,1,4,0,1,4,,,,,,7,11,1
2011-05-28,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings,1,2,0,1,0,1,,,,,,,6,5,0,1,3,0,1,0,6,,,,,,,6,11,0,6,1,2,1,0,0,,,,,,,6,10,0,1,1,1,5,1,1,,,,,,,6,10,0,2,1,1,2,0,6,,,,,,,6,12,0,6,0,1,0,0,1,,,,,,,6,8,0
2011-05-28,"MA Chidambaram Stadium, Chepauk",2,205,Royal Challengers Bangalore,1,0,0,0,1,4,,,,,,,6,6,1,1,4,1,0,2,1,,,,,,,6,9,0,0,1,0,1,0,1,,,,,,,6,3,1,0,3,0,2,1,0,,,,,,,6,6,0,0,1,4,1,4,4,,,,,,,6,14,0,1,4,1,2,0,1,,,,,,,6,9,0
2012-04-04,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings,1,0,3,0,0,0,1,,,,,,7,5,1,1,1,0,0,0,1,1,,,,,,7,4,0,3,0,0,0,1,1,1,,,,,,7,6,0,0,2,6,1,0,4,,,,,,,6,13,0,1,1,2,1,1,0,,,,,,,6,6,0,1,1,1,1,0,4,,,,,,,6,8,1
2012-04-04,"MA Chidambaram Stadium, Chepauk",2,112,Mumbai Indians,0,0,0,0,1,0,,,,,,,6,1,0,4,0,0,4,1,1,0,,,,,,7,10,0,1,1,4,0,6,0,0,,,,,,7,12,0,4,0,1,1,4,1,,,,,,,6,11,0,1,1,0,0,1,0,,,,,,,6,3,0,4,6,1,1,0,4,,,,,,,6,16,0
2012-04-05,Eden Gardens,1,,Kolkata Knight Riders,0,4,1,0,0,4,,,,,,,6,9,0,0,4,0,1,0,0,1,,,,,,7,6,1,0,4,1,0,0,4,,,,,,,6,9,2,1,1,4,1,0,0,,,,,,,6,7,1,0,1,2,0,0,0,,,,,,,6,3,0,1,1,1,0,1,2,6,,,,,,7,12,0
2012-04-05,Eden Gardens,2,97,Delhi Daredevils,1,1,2,0,0,1,,,,,,,6,5,0,0,1,1,1,0,4,4,,,,,,7,11,0,1,0,4,4,0,1,,,,,,,6,10,0,1,6,1,0,0,0,,,,,,,6,8,0,1,0,2,0,1,1,,,,,,,6,5,0,1,4,1,1,1,1,,,,,,,6,9,0
2012-04-06,Wankhede Stadium,1,,Pune Warriors,0,0,0,0,0,0,,,,,,,6,0,1,0,1,0,0,1,0,,,,,,,6,2,0,1,0,0,4,1,1,0,,,,,,7,7,0,1,4,1,0,1,4,,,,,,,6,11,1,1,1,4,1,0,0,,,,,,,6,7,1,1,1,0,0,1,0,,,,,,,6,3,0
2012-04-06,Wankhede Stadium,2,129,Mumbai Indians,0,0,1,1,0,0,,,,,,,6,2,1,0,1,1,0,1,0,0,0,,,,,8,3,2,0,0,0,0,1,1,,,,,,,6,2,0,0,0,0,0,0,4,,,,,,,6,4,0,2,1,1,0,0,0,6,,,,,,7,10,0,0,0,1,1,4,0,,,,,,,6,6,0
2012-04-06,Sawai Mansingh Stadium,1,,Rajasthan Royals,2,1,1,0,0,1,0,,,,,,7,5,0,0,4,4,1,0,2,,,,,,,6,11,0,0,4,4,4,0,4,,,,,,,6,16,0,4,2,1,1,1,1,0,,,,,,7,10,0,0,1,0,0,4,1,,,,,,,6,6,0,1,1,1,4,1,1,,,,,,,6,9,0
2012-04-06,Sawai Mansingh Stadium,2,191,Kings XI Punjab,0,5,4,0,2,1,0,,,,,,7,12,0,0,0,1,0,1,1,,,,,,,6,3,0,0,1,1,1,0,0,,,,,,,6,3,0,4,1,1,6,1,4,,,,,,,6,17,0,1,0,1,1,1,1,0,,,,,,7,5,1,0,0,4,0,0,1,,,,,,,6,5,1
2012-04-07,M Chinnaswamy Stadium,1,,Royal Challengers Bangalore,0,1,0,0,2,1,,,,,,,6,4,0,1,0,0,6,0,0,,,,,,,6,7,0,1,0,4,4,6,4,,,,,,,6,19,0,0,4,0,2,1,0,0,,,,,,7,7,1,0,1,1,1,1,0,,,,,,,6,4,0,0,0,1,4,0,0,,,,,,,6,5,1
2012-04-07,M Chinnaswamy Stadium,2,157,Delhi Daredevils,4,4,4,1,0,1,,,,,,,6,14,1,0,0,0,4,6,0,,,,,,,6,10,0,1,0,0,1,2,1,1,,,,,,7,6,0,1,1,0,0,0,0,,,,,,,6,2,0,0,0,4,0,4,0,,,,,,,6,8,0,0,1,0,4,1,0,,,,,,,6,6,0
2012-04-07,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,,Chennai Super Kings,2,0,0,0,0,0,,,,,,,6,2,1,0,0,1,4,1,1,0,,,,,,7,7,0,4,0,1,0,0,1,,,,,,,6,6,0,1,0,1,1,1,1,,,,,,,6,5,0,0,2,0,4,6,6,,,,,,,6,18,0,4,0,0,1,0,1,,,,,,,6,6,1
